Kode #,Nama Barang,Kategori Barang,PIC
100001,AYAM DADA FILLET - CP,10.FOOD [RM] - COM,CP
100004,BAWANG PUTIH - CP,10.FOOD [RM] - COM,CP
100006,CABE RAWIT - CP,10.FOOD [RM] - COM,CP
100011,GULA -RESTO,10.FOOD [RM] - COM,RESTO
100016,KULIT PANGSIT,10.FOOD [RM] - COM,RESTO
100025,TEPUNG ROTI,10.FOOD [RM] - COM,RESTO
100026,WORTEL - CP,10.FOOD [RM] - COM,CP
100028,MIE,10.FOOD [RM] - COM,RESTO
100030,TEPUNG TERIGU SEGITIGA,10.FOOD [RM] - COM,CP
100031,TEPUNG TAPIOKA,10.FOOD [RM] - COM,CP
100032,KULIT PANGSIT (KULIT SIOMAY) - CP,10.FOOD [RM] - COM,CP
100037,BASIC MIE,10.FOOD [RM] - COM,CP
100039,BIANG AYAM CINCANG - CP,10.FOOD [RM] - COM,CP
100040,TAHU - CP,10.FOOD [RM] - COM,CP
100041,AIR MINERAL BOTOL,10.FOOD [RM] - COM,RESTO
100042,BUAH BELIMBING,10.FOOD [RM] - COM,RESTO
100044,BUAH PEER,10.FOOD [RM] - COM,RESTO
100045,BUAH STRAWBERRY,10.FOOD [RM] - COM,RESTO
100046,CINCAU,10.FOOD [RM] - COM,RESTO
100047,BUAH APEL,10.FOOD [RM] - COM,RESTO
100049,JELLY BUBBLE,10.FOOD [RM] - COM,RESTO
100050,JELLY MIE,10.FOOD [RM] - COM,RESTO
100051,LEMON TEA - NESTLE,10.FOOD [RM] - COM,RESTO
100052,MILO,10.FOOD [RM] - COM,RESTO
100053,NATA DE COCO,10.FOOD [RM] - COM,RESTO
100054,ORANGE - NESTLE,10.FOOD [RM] - COM,RESTO
100056,SIRUP MOCCA,10.FOOD [RM] - COM,RESTO
100058,SUN QUICK LEMON,10.FOOD [RM] - COM,RESTO
100059,TEA GOPEK,10.FOOD [RM] - COM,RESTO
100060,TEA NAGA,10.FOOD [RM] - COM,RESTO
100061,TEA TARIK - NESTLE,10.FOOD [RM] - COM,RESTO
100062,VANILLA LATTE - NESTLE,10.FOOD [RM] - COM,RESTO
100063,JERUK NIPIS,10.FOOD [RM] - COM,RESTO
100064,SUSU KENTAL MANIS,10.FOOD [RM] - COM,RESTO
100065,SUSU ULTRA UHT FULL CREAM,10.FOOD [RM] - COM,RESTO
100068,CREAMER,10.FOOD [RM] - COM,RESTO
100069,BLACK THAI TEA,10.FOOD [RM] - COM,RESTO
100070,GREEN THAI TEA,10.FOOD [RM] - COM,RESTO
100071,SUSU EVAPORASI,10.FOOD [RM] - COM,RESTO
100074,BIANG PANGSIT - CP,10.FOOD [RM] - COM,CP
100077,BAWANG BOMBAY - CP,10.FOOD [RM] - COM,CP
100093,AYAM PAHA FILLET - CP,10.FOOD [RM] - COM,CP
100094,KULIT TAHU KECIL - CP,10.FOOD [RM] - COM,CP
100095,KEJU,10.FOOD [RM] - COM,RESTO
100103,ADONAN PANGSIT,10.FOOD [WIP] - COM,WIP
100108,BAWANG GORENG,10.FOOD [WIP] - COM,WIP
100109,MINYAK MIE,10.FOOD [WIP] - COM,WIP
100116,JAMUR HITAM (SHITAKE) KERING 3KG,10.FOOD [RM] - COM,CP
100117,POWDER ES COKLAT - NESTLE,10.FOOD [RM] - COM,RESTO
100119,KECAP SAWI POUCH,10.FOOD [RM] - COM,RESTO
100121,SURAI NAGA (v.20),10.FOOD [RM] - COM,RESTO
100122,KRUPUK MIE (v.20),10.FOOD [RM] - COM,RESTO
100124,CABE RAWIT - RESTO,10.FOOD [RM] - COM,RESTO
100129,TELUR - RESTO,10.FOOD [RM] - COM,RESTO
100130,DAUN BAWANG/BRAMBANG - RESTO,10.FOOD [RM] - COM,RESTO
100132,TEPUNG TELUR,10.FOOD [RM] - COM,CP
100133,MINYAK GORENG - CP (v.20),10.FOOD [WIP] - COM,WIP
100134,DIPPING FINNA SACHET,10.FOOD [RM] - COM,RESTO
100135,POTASSIUM SORBAT - CP,10.FOOD [RM] - COM,CP
100138,BIANG DIMSUM BASAH - CP v.20,10.FOOD [RM] - COM,CP
100139,BIANG DIMSUM KERING - CP v.20,10.FOOD [RM] - COM,CP
100143,MINYAK GORENG - RESTO (v.20),10.FOOD [RM] - COM,RESTO
