Nama Cabang,Provinsi,id,name,state_code,latitude,longitude,type
TLGTEU,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
MADSAP,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
MJKSUD,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
KDRJOY,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SKTMAW,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
SMNBAB,DI Yogyakarta,1829.0,DI Yogyakarta,YO,-7.87538490,110.42620880,province
PNGDIP,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
BLTKAL,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
PASSLA,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
MLGKEN,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
JBGURI,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
JOGCOL,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
NGWDIP,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
JMRSUM,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SKHSOE,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
MLGJAK,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
MLGCIL,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
YYKTAM,DI Yogyakarta,1829.0,DI Yogyakarta,YO,-7.87538490,110.42620880,province
PBLSUR,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SBYAMB,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SMGMAK,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
YYKKRA,DI Yogyakarta,1829.0,DI Yogyakarta,YO,-7.87538490,110.42620880,province
